Region,Service,TimeStamp,Minimum,Average,Maximum
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 23:00:00,0.000168878259137273,0.00030018176820411,0.000526017602533102
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 00:00:00,0.000172218051739037,0.000297328336811468,0.000507194450811336
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 01:00:00,0.000154421105980873,0.000294571120467241,0.000502096628770232
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 02:00:00,0.000167751777917147,0.000298168636718596,0.000549574638716877
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 03:00:00,0.000169476901646703,0.00029774902180061,0.000538126053288579
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 04:00:00,0.000169265584554523,0.000300098121533618,0.000561269349418581
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 05:00:00,0.000146586778818777,0.000297312231989947,0.00068918492179364
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 06:00:00,0.000171637267339975,0.000296313532547105,0.000511255138553679
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 07:00:00,0.000167393696028739,0.000298227707236838,0.000530087272636592
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 08:00:00,0.000163625238928944,0.000300351782827773,0.000505507225170732
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 09:00:00,0.000150177907198668,0.000300713539156783,0.00056630983017385
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 10:00:00,0.00017653068061918,0.000298473548120635,0.000552718597464263
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 11:00:00,0.000165042718156026,0.000302791747316766,0.000532202166505158
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 12:00:00,0.000109427748247981,0.00030247850921642,0.000529935117810965
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 13:00:00,0.000181423698086292,0.000296723842427014,0.000496482197195291
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/04/2022 14:00:00,0.000165087194181979,0.000295551763676711,0.000544777419418097
